#Cores  Solver Time (s)  Wall Time (s) Solver Time (s) Wall Time (s)
 4      560.03           564           ?                ?
 8      322.81           333           ?                ?
 16     180.35           191           ?                ?
 32     86.71            97            ?                ?
 64     44.43            56            ?                ?
 128    28.67            38            ?                ?
 256    12.15            34            ?                ?
 512    7.38             43            567.46           602
 1024   5.31             72            299.48           366
 2048   4.84             131           150.36           270

