#cores python bcastf node-python cumulative cost
    16      1      1           1               2
    32      1      1           1               2
    64      2      1           1               2
   128      4      1           1               2
   256      8      2           1               3
   512     15      2           2               4
  1024     27      9           6              15
  2048     57     13           7              21
  4096    120     24          14              38
  8192    239     42          31              73
